MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
8,10,3,6,8,5,5,148.4131591,2,4,7,11,2,4,8,6,6,6,4,2,0.404364839
0,5,5,4,2,4,2,8103.083928,5,4,6,11,5,3,8,6,1,5,4,4,0.317668709
5,7,8,9,8,4,5,2980.957987,7,6,2,2,4,3,3,3,5,1,1,5,0.37438141
3,5,5,2,4,8,4,7.389056099,9,4,7,2,4,5,5,4,4,3,2,2,0.413773333
4,2,7,8,6,6,8,7.389056099,4,18,2,4,9,3,4,4,6,3,1,6,0.371417623
4,4,5,4,4,4,3,54.59815003,6,4,3,7,5,7,5,7,4,2,2,5,0.301923772
2,3,6,6,6,10,8,403.4287935,9,4,2,3,5,3,7,2,6,5,9,6,0.334256683
8,4,0,6,6,7,3,403.4287935,6,9,4,8,5,5,3,6,7,5,6,4,0.39360185
5,6,7,4,7,4,5,54.59815003,7,1,3,5,6,5,4,7,7,6,3,8,0.43078794
3,4,7,4,6,2,3,1096.633158,9,12,3,3,5,2,3,5,6,9,4,6,0.425124732
4,7,5,8,5,3,3,148.4131591,4,5,5,5,8,5,3,3,5,6,7,5,0.415178689
5,6,5,4,3,4,5,148.4131591,6,6,6,6,6,4,8,6,2,11,2,9,0.433022983
6,4,3,7,7,6,3,1096.633158,3,6,7,4,4,7,3,6,7,8,3,4,0.3391885
3,7,4,2,4,4,9,148.4131591,6,6,8,12,7,4,7,4,5,3,4,5,0.301735675
6,8,2,2,4,8,4,54.59815003,5,3,5,9,7,1,10,1,6,7,5,1,0.349612443
3,6,7,2,4,6,3,2980.957987,8,5,5,3,6,3,3,8,6,8,9,5,0.38078154
12,8,5,3,4,3,8,8103.083928,4,5,2,3,1,4,10,5,5,5,3,5,0.34430524
9,5,9,4,7,4,4,20.08553692,3,4,8,6,4,8,3,7,6,2,2,9,0.306188526
5,3,6,4,7,5,3,20.08553692,3,3,4,7,2,5,4,5,10,2,6,4,0.371006179
2,8,7,6,4,5,5,54.59815003,2,6,3,3,4,2,3,6,5,5,7,6,0.327957491
7,5,8,6,8,7,6,22026.46579,3,5,5,5,3,4,4,4,9,4,4,3,0.401859979
4,4,3,9,8,7,3,1096.633158,5,11,8,3,7,7,4,7,7,8,6,4,0.312488221
7,3,9,4,7,5,1,1096.633158,3,3,1,4,2,8,3,4,9,6,4,5,0.434137609
5,4,5,3,5,4,0,2.718281828,8,6,5,4,3,5,7,6,6,5,3,6,0.422735267
6,7,4,5,6,6,7,148.4131591,2,6,2,4,6,5,7,1,7,6,4,4,0.422339581
8,8,6,4,4,5,4,7.389056099,7,4,9,3,10,4,3,3,5,4,6,1,0.410584689
7,6,5,4,3,5,5,54.59815003,4,7,7,4,4,5,5,8,2,6,2,4,0.388702501
3,6,3,4,6,3,7,54.59815003,5,7,2,4,2,2,4,5,8,9,2,5,0.307480066
4,2,4,5,6,6,5,7.389056099,4,9,3,5,7,5,7,5,5,2,2,7,0.392739624
5,4,3,8,6,3,5,1096.633158,6,2,5,6,4,6,5,8,3,9,3,4,0.404569819
3,3,5,4,5,6,3,22026.46579,7,4,4,7,6,10,3,5,7,8,6,2,0.318314788
4,3,4,5,5,4,3,20.08553692,8,2,2,6,3,5,5,8,3,5,2,4,0.386205844
7,5,8,4,5,7,7,54.59815003,4,6,6,3,8,9,9,7,5,3,6,9,0.367041446
8,5,1,4,4,5,2,2.718281828,9,2,5,2,7,4,4,5,6,4,6,2,0.366141816
4,3,4,2,6,3,7,2980.957987,4,9,2,4,4,4,7,8,5,4,1,5,0.327924713
6,6,4,5,5,2,7,7.389056099,4,5,8,1,3,5,4,4,5,6,3,6,0.403521346
7,4,5,9,7,4,5,148.4131591,5,5,5,,6,1,10,3,6,3,3,2,0.429517453
3,5,3,9,7,7,7,54.59815003,5,7,5,6,3,6,13,6,7,3,6,6,0.410292464
4,2,4,5,3,8,1,148.4131591,7,2,3,5,10,9,7,4,2,5,2,5,0.351664511
2,3,7,4,3,4,4,20.08553692,4,4,6,6,5,7,5,8,6,9,5,2,0.437784823
2,3,3,5,6,4,4,20.08553692,7,5,9,5,6,2,8,6,7,7,3,7,0.350983843
6,5,9,7,5,1,4,2980.957987,3,4,6,8,7,5,3,8,4,6,3,3,0.332819341
7,4,4,5,6,3,8,54.59815003,7,3,3,6,8,3,3,3,4,4,5,4,0.435531849
5,5,7,6,6,2,5,20.08553692,2,7,3,6,5,5,5,4,9,7,3,1,0.410574315
6,1,9,6,6,4,5,2980.957987,6,5,2,2,5,3,4,4,6,7,5,5,0.40657418
2,4,2,4,5,4,5,2.718281828,4,3,3,5,5,3,2,8,5,1,8,3,0.310840472
8,5,4,5,2,4,1,54.59815003,5,6,5,6,1,4,6,5,4,7,8,1,0.326883305
5,5,4,8,5,5,6,1,6,4,10,8,7,9,2,10,5,5,3,6,0.302592515
5,4,7,1,4,6,7,403.4287935,3,6,7,8,7,3,3,3,7,10,6,2,0.408730885
6,7,1,3,6,6,7,20.08553692,2,7,2,8,6,0,4,4,5,7,6,6,0.338954015
4,7,1,4,8,7,2,148.4131591,6,3,2,5,11,4,5,4,11,2,4,4,0.318511336
9,6,2,5,7,8,7,2980.957987,4,2,4,4,4,4,4,5,8,3,1,6,0.325464769
6,4,5,4,4,4,5,2980.957987,7,8,4,0,8,3,5,5,3,2,5,3,0.389758472
9,4,4,8,8,6,4,1096.633158,6,5,2,7,8,5,6,6,8,2,9,4,0.360627097
3,1,2,7,7,6,3,403.4287935,4,2,5,7,5,8,3,6,5,4,8,5,0.431795494
2,2,1,5,5,4,5,20.08553692,5,8,11,2,4,7,5,3,4,6,5,4,0.351224826
6,4,10,4,2,9,9,148.4131591,4,6,9,8,6,3,5,10,4,4,5,5,0.416742406
6,5,11,7,2,6,4,148.4131591,6,2,8,,3,3,3,5,1,8,3,2,0.376505102
4,3,9,6,6,7,2,54.59815003,6,6,3,7,3,4,7,3,7,6,6,7,0.398748649
5,5,7,5,5,7,5,7.389056099,7,4,8,2,6,3,5,2,5,4,5,3,0.323612507
3,6,6,3,3,6,4,8103.083928,7,5,4,5,4,5,7,5,5,2,8,5,0.404857834
3,2,8,5,9,5,3,22026.46579,2,7,2,5,2,8,4,9,11,2,7,7,0.31199175
6,1,2,2,5,2,7,403.4287935,3,3,7,1,4,5,6,7,6,4,6,2,0.396756995
6,10,7,6,5,6,6,8103.083928,5,8,3,6,6,3,5,3,6,1,7,2,0.365172464
4,5,3,4,5,5,8,7.389056099,2,6,8,11,3,6,3,6,5,2,5,5,0.33199366
4,6,4,9,7,6,2,148.4131591,3,8,6,2,5,3,5,11,5,4,6,6,0.367254198
7,9,8,3,7,8,7,403.4287935,3,6,5,7,8,8,3,4,8,5,6,3,0.419794938
6,4,5,2,2,6,5,148.4131591,5,2,5,3,3,5,2,6,2,5,2,3,0.321660685
5,5,6,4,5,3,2,54.59815003,3,3,5,4,5,2,1,2,5,7,4,5,0.323747698
2,4,7,5,6,4,8,20.08553692,4,1,7,2,5,5,8,8,6,5,4,4,0.374759614
1,3,7,5,3,7,5,403.4287935,4,5,4,4,3,3,5,8,3,8,7,7,0.387535637
5,4,4,6,4,6,5,54.59815003,6,1,7,5,3,6,3,7,3,5,3,2,0.358827968
3,5,3,3,10,6,3,403.4287935,1,6,8,2,5,5,3,1,14,6,2,3,0.337294964
1,4,5,5,5,6,4,1096.633158,5,1,6,3,3,4,3,6,5,4,2,2,0.309406891
6,3,6,7,8,5,5,403.4287935,4,7,5,4,4,1,5,3,8,5,9,5,0.306971038
6,7,4,4,4,3,3,2980.957987,7,6,6,6,4,2,5,3,5,7,8,5,0.305714814
4,4,5,6,3,5,4,54.59815003,4,5,5,3,5,4,7,5,2,6,8,3,0.426179625
6,8,4,7,4,6,2,148.4131591,5,5,5,8,8,5,7,3,3,5,4,2,0.318390002
7,4,4,3,3,7,4,148.4131591,3,4,7,4,3,5,7,3,2,3,5,4,0.341317285
3,4,1,6,3,4,5,148.4131591,4,5,5,8,6,4,3,5,3,6,8,5,0.43802492
5,3,5,7,6,6,7,54.59815003,6,3,9,5,6,8,6,11,4,2,3,4,0.429846464
7,1,4,9,5,6,10,2980.957987,2,4,1,5,9,5,8,4,4,9,3,2,0.306000668
4,4,7,4,5,4,4,8103.083928,6,3,9,2,3,7,9,4,2,1,5,6,0.377176902
3,7,7,5,6,5,3,54.59815003,3,3,11,3,5,5,10,4,5,7,2,7,0.388689789
7,6,6,14,5,9,1,20.08553692,9,4,7,4,9,9,4,6,1,4,8,4,0.307575978
2,8,4,6,5,4,5,148.4131591,6,2,12,1,7,2,2,2,4,6,1,7,0.401937657
3,8,2,3,4,4,4,403.4287935,8,4,5,4,3,5,5,7,4,10,5,3,0.438301798
6,9,4,6,5,9,4,1096.633158,2,4,6,4,6,7,5,7,4,10,7,8,0.360113141
5,4,1,1,5,5,8,54.59815003,5,9,8,4,4,5,8,10,4,1,8,9,0.362918457
4,8,3,5,4,2,4,22026.46579,7,5,5,8,7,5,7,10,3,3,3,8,0.392308564
8,5,4,6,5,7,4,148.4131591,7,1,7,9,4,11,6,6,5,5,4,2,0.403115888
9,8,5,3,4,10,3,2980.957987,3,7,4,2,7,2,3,6,4,2,8,5,0.410568127
5,9,5,3,5,8,5,20.08553692,8,5,11,4,7,5,4,6,7,3,8,5,0.310861178
3,1,4,4,3,3,5,148.4131591,2,4,1,4,6,5,6,7,4,6,6,5,0.412096444
5,10,10,4,3,4,6,403.4287935,4,6,6,12,5,5,5,6,1,5,0,3,0.420970353
4,7,3,10,10,3,5,20.08553692,3,4,2,6,6,8,9,3,9,5,7,3,0.306331814
8,5,7,3,5,4,4,54.59815003,2,7,5,4,2,4,7,1,6,5,4,7,0.3054789
5,0,6,2,6,2,5,148.4131591,0,9,9,4,3,4,6,2,9,5,6,7,0.377124668
2,9,7,3,7,2,5,1096.633158,6,7,8,,5,3,3,5,7,5,8,6,0.369552925
9,4,6,4,4,6,6,148.4131591,3,1,5,5,4,2,5,4,5,4,4,12,0.437213538
2,3,6,3,5,3,4,1096.633158,5,7,2,6,5,6,5,4,6,1,5,8,0.34121621
4,5,4,1,0,5,3,20.08553692,4,5,2,3,8,4,5,7,3,8,7,5,0.382627997
3,3,4,4,6,2,7,20.08553692,7,2,7,6,5,5,7,4,8,2,5,5,0.370934256
4,3,8,5,3,4,5,7.389056099,7,3,3,4,3,3,5,8,3,2,5,4,0.375002665
3,8,6,3,6,7,5,7.389056099,8,6,6,4,3,7,8,6,7,6,3,3,0.392353564
,6,7,5,3,4,3,20.08553692,2,3,2,3,7,2,4,6,3,2,4,5,0.375263299
5,3,3,1,5,12,5,54.59815003,9,4,4,3,4,6,7,3,5,3,5,1,0.300972237
3,4,3,5,7,6,4,403.4287935,3,3,3,5,7,8,4,4,7,4,1,3,0.418119437
